Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence
A-Bomb,Richard Milhouse Jones,"Scarsdale, Arizona",Marvel Comics,203.21,441.95,M,2008.0,Yellow,No Hair,100.0,moderate
Abraxas,Abraxas,Within Eternity ,Marvel Comics,,,M,,Blue,Black,100.0,high
Abomination,Emil Blonsky,"Zagreb, Yugoslavia",Marvel Comics,203.04,441.98,M,,Green,No Hair,80.0,good
Adam Monroe,,,NBC - Heroes,,,M,,Blue,Blond,10.0,good
Agent 13,Sharon Carter,,Marvel Comics,173.41,61.03,F,,Blue,Blond,,
Agent Bob,Bob,,Marvel Comics,178.25,81.45,M,2007.0,Brown,Brown,10.0,low
Abe Sapien,Abraham Sapien,,Dark Horse Comics,191.24,65.35,M,1993.0,Blue,No Hair,30.0,high
Abin Sur,,Ungara,DC Comics,185.52,90.9,M,1959.0,Blue,No Hair,90.0,average
Angela,,,Image Comics,,,F,,,,100.0,high
Animal Man,Bernhard Baker,,DC Comics,183.8,83.39,M,1965.0,Blue,Blond,50.0,average
Agent Zero,Christoph Nord,Unrevealed location in former East Germany ,Marvel Comics,191.29,104.17,M,,,,30.0,good
Colin Wagner,,,HarperCollins,,,M,,Grey,Brown,,
Angel Dust,Christina,,Marvel Comics,165.78,57.21,F,,Yellow,Black,55.0,moderate
Angel Salvadore,Angel Salvadore Bohusk,,Marvel Comics,163.57,54.67,F,2001.0,Brown,Black,10.0,moderate
Zoom,Hunter Zolomon,,DC Comics,185.9,81.93,M,,Red,Brown,10.0,average
Lady Deathstrike,Yuriko Oyama,"Osaka, Japan",Marvel Comics,175.85,58.89,F,1985.0,Brown,Black,30.0,good
Yoda,Yoda,,George Lucas,66.29,17.01,M,1980.0,Brown,White,55.0,high
Zatanna,Zatanna Zatara,,DC Comics,170.29,57.77,F,,Blue,Black,10.0,high
Yellowjacket II,Rita DeMara,,Marvel Comics,165.58,52.36,F,,Blue,Strawberry Blond,10.0,average
Yellowjacket,Hank Pym,"Elmsford, New York",Marvel Comics,183.03,83.70999999999998,M,,Blue,Blond,10.0,high
Yellow Claw,,Somewhere in mainland China,Marvel Comics,188.4,95.09,M,,Blue,No Hair,,
Absorbing Man,Carl Creel,"New York City, New York",Marvel Comics,193.36,122.28,M,1964.0,Blue,No Hair,80.0,moderate
X-Man,Nate Grey,American Northeast of Earth-295 ,Marvel Comics,175.82,61.8,M,1995.0,Blue,Brown,55.0,high
X-23,Laura Kinney,"The Facility, location unrevealed ",Marvel Comics,155.61,50.39,F,,Green,Black,25.0,good
Wondra,,,Marvel Comics,,,F,,,,,
Adam Strange,Adam Strange,"Chicago, Illinois",DC Comics,185.1,88.92,M,1986.0,Blue,Blond,10.0,good
Wonder Girl,Cassandra Elizabeth Sandsmark,,DC Comics,165.74,51.33,F,1996.0,Blue,Blond,90.0,good
Wonder Woman,Diana Prince,Themyscira,DC Comics,183.13,74.73999999999998,F,1941.0,Blue,Black,100.0,high
Wolverine,Logan,"Alberta, Canada",Marvel Comics,160.7,135.21,M,,Blue,Black,35.0,good
Ymir,Ymir,Niffleheim,Marvel Comics,304.63,,M,,White,No Hair,100.0,average
Wiz Kid,Takashi Matsuya,Place of birth unknown,Marvel Comics,140.86,39.64,,,Brown,Black,,
Wolfsbane,Rahne Sinclair,"Somewhere in Ross and Cromarty, Scotland",Marvel Comics,366.34,473.76,F,,Green,Auburn,20.0,moderate
White Queen,Emma Grace Frost,"Boston, Massachusetts",Marvel Comics,178.87,65.87,F,,Blue,Blond,,
White Canary,,,DC Comics,,,F,,Brown,Black,10.0,good
Wyatt Wingfoot,Wyatt Wingfoot,"Keewazi Reservation, Oklahoma",Marvel Comics,196.42,117.16,M,,Brown,Black,10.0,low
Weapon XI,Weapon XI,,Marvel Comics,,,M,,,,,
Winter Soldier,Bucky Barnes,,Marvel Comics,175.21,117.21,M,2005.0,Brown,Brown,35.0,average
Watcher,Uatu,,Marvel Comics,,,M,1963.0,,,80.0,high
Wonder Man,Simon Williams,"Paterson, New Jersey",Marvel Comics,188.9,171.57,M,,Red,Black,100.0,good
Wasp,Janet Van Dyne,"Cresskill, New Jersey",Marvel Comics,163.86,50.04,F,,Blue,Auburn,20.0,good
Warbird,Carol Danvers,"Boston, Massachusetts",Marvel Comics,180.56,54.75,F,,Blue,Blond,,
Wildfire,Drake Burroughs,,DC Comics,,,M,,,,35.0,average
Vulture,Adrian Toomes,"Staten Island, New York City ",Marvel Comics,180.61,79.62999999999998,M,,Brown,No Hair,25.0,good
Warp,Emil LaSalle,,DC Comics,173.42,67.42,M,1981.0,Brown,Black,10.0,moderate
Warpath,James Proudstar,"Camp Verde, Arizona ",Marvel Comics,218.05,158.22,M,1984.0,Brown,Black,75.0,moderate
War Machine,James Rupert Rhodes,"Philadelphia, Pennsylvania ",Marvel Comics,185.01,95.93,M,1979.0,Brown,Brown,80.0,good
Vulcan,Gabriel Summers,,Marvel Comics,,,M,,Black,Black,,
Vision II,Vision,Place of birth unknown,Marvel Comics,191.39,135.51,,,Red,No Hair,,
Walrus,Hubert Carpent,"Brooklyn, New York",Marvel Comics,183.7,162.03,M,1984.0,Blue,Black,30.0,average
Vision,Vision,,Marvel Comics,191.51,135.95,M,,Gold,No Hair,75.0,high
Violet Parr,Violet Parr,,Dark Horse Comics,137.18,41.13,F,2004.0,Violet,Black,10.0,average
Violator,,,Image Comics,,,M,,,,65.0,average
Vertigo II,,The Savage Land,Marvel Comics,168.94,52.8,F,,Blue,Silver,,
Venompool,Wade Wilson,,Marvel Comics,226.84,,M,2011.0,,,60.0,good
Venom III,MacDonald Gargan,,Marvel Comics,229.39,334.7,M,2005.0,Brown,Brown,75.0,good
Vindicator,Dr. James McDonald Hudson,,Marvel Comics,,,M,,,,,
Venom II,Angelo Fortunato,,Marvel Comics,175.07,50.76,M,2005.0,Brown,Black,60.0,average
Venom,Eddie Brock,"New York, New York",Marvel Comics,191.35,117.61,M,,Blue,Strawberry Blond,60.0,good
Vegeta,Vegeta,,Shueisha,168.94,73.23999999999998,M,,,Black,100.0,high
Vixen,Mari McCabe,Zambesi,DC Comics,175.71,63.57,F,1981.0,Amber,Black,40.0,average
Valkyrie,Brunnhilde (also spelled Brunnhilda),Presumably Asgard,Marvel Comics,191.63,214.67,F,,Blue,Blond,95.0,high
Valerie Hart,,"East Coast, Canada",Team Epic TV,175.8,56.67,F,,Hazel,Black,,
Vanisher,,"Boston, Massachusetts ",Marvel Comics,165.83,79.45,M,,Green,No Hair,10.0,good
Vagabond,Priscilla Lyons,,Marvel Comics,169.0,54.62,F,,Blue,Strawberry Blond,,
Utgard-Loki,,Jotunheim,Marvel Comics,15.34,58.86,M,,Blue,White,80.0,average
Ultron,Ultron,"Created in Cresskill, New Jersey",Marvel Comics,206.9,331.61,M,1968.0,Red,,85.0,high
Triton,Triton,"Island of Attilan, Atlantic Ocean",Marvel Comics,188.35,86.83,M,1965.0,Green,No Hair,65.0,average
Two-Face,Harvey Dent,,DC Comics,183.12,82.87,M,,,,10.0,high
Triplicate Girl,Luornu Durgo,,DC Comics,168.97,59.83,F,,Purple,Brown,10.0,good
Trigon,,,DC Comics,,,M,1981.0,Yellow,Black,100.0,high
Ultragirl,Tsu-Zana,,Marvel Comics,168.27,105.9,F,,Blue,Blond,80.0,average
Tracy Strauss,Tracy Strauss,"Beverly Hills, CA",NBC - Heroes,,,F,,,,,
Toxin,Eddie Brock,"San Francisco, California",Marvel Comics,191.57,117.09,M,,Black,Blond,80.0,good
Titan,,,HarperCollins,,,M,,,,,
Tinkerer,Phineas Mason,,Marvel Comics,163.96,54.93,M,1963.0,Brown,White,10.0,high
Tigra,Greer Grant Nelson,Presumably Chicago Illinois USA,Marvel Comics,178.04,81.12,F,,Green,Auburn,35.0,good
Vibe,Cisco Ramon,,DC Comics,178.77,71.32,M,,Brown,Black,10.0,average
Thundra,Thundra,,Marvel Comics,218.65,158.89,F,1972.0,Green,Red,85.0,moderate
